0.70 0.50 -0.307706 0.00744434
0.70 0.51 -0.311671 0.00614106
0.70 0.52 -0.341905 0.00536107
0.70 0.53 -0.362738 0.00380555
0.70 0.54 -0.376097 0.00428342
0.70 0.55 -0.383719 0.00338337
0.70 0.56 -0.393688 0.00353793
0.70 0.57 -0.401747 0.00279909
0.70 0.58 -0.401212 0.00289926
0.70 0.59 -0.410243 0.00260687
0.70 0.60 -0.411717 0.00253921
0.70 0.61 -0.415092 0.00228705
0.70 0.62 -0.416512 0.00246778
0.70 0.63 -0.41203 0.00269435
0.70 0.64 -0.413685 0.00272098
0.70 0.65 -0.413306 0.00267418
0.70 0.66 -0.407419 0.00301988
0.70 0.67 -0.405459 0.00376455
0.70 0.68 -0.402056 0.00420061
0.70 0.69 -0.400431 0.00336805
0.70 0.70 -0.399559 0.00365267
0.70 0.71 -0.388847 0.00440079
0.70 0.72 -0.381204 0.00511348
0.70 0.73 -0.376903 0.00504227
0.70 0.74 -0.372836 0.00452971
0.70 0.75 -0.372752 0.00427602
0.70 0.76 -0.358425 0.00592476
0.70 0.77 -0.356877 0.0061351
0.70 0.78 -0.354441 0.00639908
0.70 0.79 -0.341607 0.00543972
0.70 0.80 -0.338596 0.00665358
0.71 0.50 -0.296839 0.0070277
0.71 0.51 -0.319987 0.00611398
0.71 0.52 -0.339918 0.00537656
0.71 0.53 -0.35518 0.00460793
0.71 0.54 -0.378306 0.00402022
0.71 0.55 -0.38691 0.00343514
0.71 0.56 -0.397962 0.00285683
0.71 0.57 -0.403275 0.0032929
0.71 0.58 -0.407137 0.00270127
0.71 0.59 -0.416695 0.00242387
0.71 0.60 -0.41783 0.0022198
0.71 0.61 -0.417897 0.00223516
0.71 0.62 -0.420313 0.00249929
0.71 0.63 -0.416266 0.00226811
0.71 0.64 -0.420725 0.00241141
0.71 0.65 -0.41894 0.00246893
0.71 0.66 -0.417687 0.00275686
0.71 0.67 -0.410876 0.00361291
0.71 0.68 -0.411999 0.00374982
0.71 0.69 -0.405518 0.0036988
0.71 0.70 -0.396501 0.00447675
0.71 0.71 -0.391322 0.00482893
0.71 0.72 -0.382834 0.00443235
0.71 0.73 -0.378244 0.00503435
0.71 0.74 -0.374704 0.004539
0.71 0.75 -0.367401 0.00586419
0.71 0.76 -0.361658 0.00612407
0.71 0.77 -0.364164 0.00565938
0.71 0.78 -0.350122 0.00625331
0.71 0.79 -0.346797 0.00623308
0.71 0.80 -0.337205 0.00701128
0.72 0.50 -0.303691 0.00663332
0.72 0.51 -0.325212 0.00657119
0.72 0.52 -0.344775 0.00515776
0.72 0.53 -0.365443 0.00546356
0.72 0.54 -0.380209 0.00421237
0.72 0.55 -0.391522 0.00389518
0.72 0.56 -0.399688 0.00309931
0.72 0.57 -0.406764 0.00289838
0.72 0.58 -0.41177 0.00271504
0.72 0.59 -0.419313 0.00232766
0.72 0.60 -0.422785 0.0022512
0.72 0.61 -0.420207 0.00223964
0.72 0.62 -0.421805 0.00232459
0.72 0.63 -0.423596 0.00232711
0.72 0.64 -0.424821 0.00243599
0.72 0.65 -0.422141 0.00258914
0.72 0.66 -0.419816 0.00284143
0.72 0.67 -0.415326 0.00304248
0.72 0.68 -0.410404 0.004219
0.72 0.69 -0.406926 0.00435831
0.72 0.70 -0.399489 0.00411243
0.72 0.71 -0.393523 0.00504029
0.72 0.72 -0.386499 0.00547938
0.72 0.73 -0.384096 0.00489618
0.72 0.74 -0.376324 0.00558015
0.72 0.75 -0.368356 0.00552726
0.72 0.76 -0.365992 0.00603845
0.72 0.77 -0.362597 0.00556984
0.72 0.78 -0.349874 0.00616016
0.72 0.79 -0.343801 0.00700464
0.72 0.80 -0.332766 0.00796742
0.73 0.50 -0.299271 0.00712974
0.73 0.51 -0.327354 0.00651471
