-0.104508  -0.465683
-0.186793  -0.151873
-0.552267  -0.055418
-0.944438  -0.241333
-0.692987  0.0893364
-0.807431  0.118086
-0.841708  0.636872
-0.757327  0.927676
-0.302633  0.851563
-0.0438258  0.845314
-0.0721614  0.580966
-0.124106  0.202336
-0.0183073  0.13535
0.198272  0.315679
0.325516  0.393546
0.417392  0.905642
0.885568  0.842093
0.853712  0.751148
0.537799  0.365872
0.694304  0.160406
0.563331  -0.248013
0.769566  -0.381004
0.691286  -0.54392
0.716435  -0.66229
0.765621  -0.627838
0.966961  -0.646318
0.755739  -0.95678
0.501076  -0.879799
0.507959  -0.5212
0.286317  -0.58133
-0.262342  -0.918695
-0.138862  -0.614365
-0.104508  -0.465683
