0.476025  0.922475
0.821221  0.901254
0.909855  0.807661
0.969022  0.436364
0.749707  0.311579
0.695638  0.558657
0.354693  0.472306
-0.161746  0.233095
-0.193888  0.0843405
-0.190887  -0.0567817
0.143891  -0.25665
0.3343  -0.277997
0.365067  -0.103771
0.568856  -0.238736
0.69464  -0.164006
0.785604  -0.393721
0.37942  -0.493978
0.130068  -0.549721
-0.688183  -0.855306
-0.913617  -0.707463
-0.97091  -0.443966
-0.559613  -0.0515395
-0.682212  -0.0327066
-0.755744  0.00946345
-0.729668  0.0732162
-0.937031  0.279792
-0.976843  0.303238
-0.740879  0.808255
-0.511506  0.472041
-0.244702  0.217252
-0.0676988  0.570178
0.0245569  0.824244
0.476025  0.922475
